54571 Autauga County, Alabama
601723 District of Columbia, District of Columbia
247336 Alachua County, Florida
27115 Baker County, Florida
168852 Bay County, Florida
28520 Bradford County, Florida
543376 Brevard County, Florida
1748066 Broward County, Florida
14625 Calhoun County, Florida
159978 Charlotte County, Florida
141236 Citrus County, Florida
190865 Clay County, Florida
321520 Collier County, Florida
67531 Columbia County, Florida
34862 DeSoto County, Florida
16422 Dixie County, Florida
864263 Duval County, Florida
297619 Escambia County, Florida
95696 Flagler County, Florida
11549 Franklin County, Florida
46389 Gadsden County, Florida
16939 Gilchrist County, Florida
12884 Glades County, Florida
15863 Gulf County, Florida
14799 Hamilton County, Florida
27731 Hardee County, Florida
39140 Hendry County, Florida
172778 Hernando County, Florida
98786 Highlands County, Florida
1229226 Hillsborough County, Florida
19927 Holmes County, Florida
138028 Indian River County, Florida
49746 Jackson County, Florida
14761 Jefferson County, Florida
8870 Lafayette County, Florida
297052 Lake County, Florida
618754 Lee County, Florida
275487 Leon County, Florida
40801 Levy County, Florida
8365 Liberty County, Florida
19224 Madison County, Florida
322833 Manatee County, Florida
331298 Marion County, Florida
146318 Martin County, Florida
2496435 Miami-Dade County, Florida
73090 Monroe County, Florida
73314 Nassau County, Florida
180822 Okaloosa County, Florida
39996 Okeechobee County, Florida
1145956 Orange County, Florida
268685 Osceola County, Florida
1320134 Palm Beach County, Florida
464697 Pasco County, Florida
916542 Pinellas County, Florida
602095 Polk County, Florida
74364 Putnam County, Florida
190039 St. Johns County, Florida
277789 St. Lucie County, Florida
151372 Santa Rosa County, Florida
379448 Sarasota County, Florida
422718 Seminole County, Florida
93420 Sumter County, Florida
41551 Suwannee County, Florida
22570 Taylor County, Florida
15535 Union County, Florida
494593 Volusia County, Florida
30776 Wakulla County, Florida
55043 Walton County, Florida
24896 Washington County, Florida
18236 Appling County, Georgia
8375 Atkinson County, Georgia
11096 Bacon County, Georgia
3451 Baker County, Georgia
45720 Baldwin County, Georgia
18395 Banks County, Georgia
69367 Barrow County, Georgia
100157 Bartow County, Georgia
17634 Ben Hill County, Georgia
19286 Berrien County, Georgia
155547 Bibb County, Georgia
13063 Bleckley County, Georgia
18411 Brantley County, Georgia
16243 Brooks County, Georgia
30233 Bryan County, Georgia
70217 Bulloch County, Georgia
23316 Burke County, Georgia
23655 Butts County, Georgia
6694 Calhoun County, Georgia
50513 Camden County, Georgia
10998 Candler County, Georgia
110527 Carroll County, Georgia
63942 Catoosa County, Georgia
12171 Charlton County, Georgia
265128 Chatham County, Georgia
11267 Chattahoochee County, Georgia
26015 Chattooga County, Georgia
214346 Cherokee County, Georgia
116714 Clarke County, Georgia
3183 Clay County, Georgia
259424 Clayton County, Georgia
6798 Clinch County, Georgia
688078 Cobb County, Georgia
42356 Coffee County, Georgia
45498 Colquitt County, Georgia
124053 Columbia County, Georgia
17212 Cook County, Georgia
127317 Coweta County, Georgia
12630 Crawford County, Georgia
23439 Crisp County, Georgia
16633 Dade County, Georgia
22330 Dawson County, Georgia
27842 Decatur County, Georgia
691893 DeKalb County, Georgia
21796 Dodge County, Georgia
14918 Dooly County, Georgia
94565 Dougherty County, Georgia
132403 Douglas County, Georgia
11008 Early County, Georgia
4034 Echols County, Georgia
52250 Effingham County, Georgia
20166 Elbert County, Georgia
22598 Emanuel County, Georgia
11000 Evans County, Georgia
23682 Fannin County, Georgia
106567 Fayette County, Georgia
96317 Floyd County, Georgia
175511 Forsyth County, Georgia
22084 Franklin County, Georgia
920581 Fulton County, Georgia
28292 Gilmer County, Georgia
3082 Glascock County, Georgia
79626 Glynn County, Georgia
55186 Gordon County, Georgia
25011 Grady County, Georgia
15994 Greene County, Georgia
805321 Gwinnett County, Georgia
43041 Habersham County, Georgia
179684 Hall County, Georgia
9429 Hancock County, Georgia
28780 Haralson County, Georgia
32024 Harris County, Georgia
25213 Hart County, Georgia
11834 Heard County, Georgia
203922 Henry County, Georgia
139900 Houston County, Georgia
9538 Irwin County, Georgia
60485 Jackson County, Georgia
13900 Jasper County, Georgia
15068 Jeff Davis County, Georgia
16930 Jefferson County, Georgia
8340 Jenkins County, Georgia
9980 Johnson County, Georgia
28669 Jones County, Georgia
18317 Lamar County, Georgia
10078 Lanier County, Georgia
48434 Laurens County, Georgia
28298 Lee County, Georgia
63453 Liberty County, Georgia
7996 Lincoln County, Georgia
14464 Long County, Georgia
109233 Lowndes County, Georgia
29966 Lumpkin County, Georgia
21875 McDuffie County, Georgia
14333 McIntosh County, Georgia
14740 Macon County, Georgia
28120 Madison County, Georgia
8742 Marion County, Georgia
21992 Meriwether County, Georgia
6125 Miller County, Georgia
23498 Mitchell County, Georgia
26424 Monroe County, Georgia
9123 Montgomery County, Georgia
17868 Morgan County, Georgia
39628 Murray County, Georgia
189885 Muscogee County, Georgia
99958 Newton County, Georgia
32808 Oconee County, Georgia
14899 Oglethorpe County, Georgia
142324 Paulding County, Georgia
27695 Peach County, Georgia
29431 Pickens County, Georgia
18758 Pierce County, Georgia
17869 Pike County, Georgia
41475 Polk County, Georgia
12010 Pulaski County, Georgia
21218 Putnam County, Georgia
2513 Quitman County, Georgia
16276 Rabun County, Georgia
7719 Randolph County, Georgia
200549 Richmond County, Georgia
85215 Rockdale County, Georgia
5010 Schley County, Georgia
14593 Screven County, Georgia
8729 Seminole County, Georgia
64073 Spalding County, Georgia
26175 Stephens County, Georgia
6058 Stewart County, Georgia
32819 Sumter County, Georgia
6865 Talbot County, Georgia
1717 Taliaferro County, Georgia
25520 Tattnall County, Georgia
8906 Taylor County, Georgia
16500 Telfair County, Georgia
9315 Terrell County, Georgia
44720 Thomas County, Georgia
40118 Tift County, Georgia
27223 Toombs County, Georgia
10471 Towns County, Georgia
6885 Treutlen County, Georgia
67044 Troup County, Georgia
8930 Turner County, Georgia
9023 Twiggs County, Georgia
21356 Union County, Georgia
27153 Upson County, Georgia
68756 Walker County, Georgia
83768 Walton County, Georgia
36312 Ware County, Georgia
5834 Warren County, Georgia
21187 Washington County, Georgia
30099 Wayne County, Georgia
2799 Webster County, Georgia
7421 Wheeler County, Georgia
27144 White County, Georgia
102599 Whitfield County, Georgia
9255 Wilcox County, Georgia
10593 Wilkes County, Georgia
9563 Wilkinson County, Georgia
21679 Worth County, Georgia
185079 Hawaii County, Hawaii
953207 Honolulu County, Hawaii
90 Kalawao County, Hawaii
67091 Kauai County, Hawaii
154834 Maui County, Hawaii
392365 Ada County, Idaho
3976 Adams County, Idaho
82839 Bannock County, Idaho
5986 Bear Lake County, Idaho
9285 Benewah County, Idaho
45607 Bingham County, Idaho
21376 Blaine County, Idaho
7028 Boise County, Idaho
40877 Bonner County, Idaho
104234 Bonneville County, Idaho
10972 Boundary County, Idaho
2891 Butte County, Idaho
1117 Camas County, Idaho
188923 Canyon County, Idaho
6963 Caribou County, Idaho
22952 Cassia County, Idaho
982 Clark County, Idaho
8761 Clearwater County, Idaho
4368 Custer County, Idaho
27038 Elmore County, Idaho
12786 Franklin County, Idaho
13242 Fremont County, Idaho
16719 Gem County, Idaho
15464 Gooding County, Idaho
16267 Idaho County, Idaho
26140 Jefferson County, Idaho
22374 Jerome County, Idaho
138494 Kootenai County, Idaho
37244 Latah County, Idaho
7936 Lemhi County, Idaho
3821 Lewis County, Idaho
5208 Lincoln County, Idaho
37536 Madison County, Idaho
20069 Minidoka County, Idaho
39265 Nez Perce County, Idaho
4286 Oneida County, Idaho
11526 Owyhee County, Idaho
22623 Payette County, Idaho
7817 Power County, Idaho
12765 Shoshone County, Idaho
10170 Teton County, Idaho
77230 Twin Falls County, Idaho
9862 Valley County, Idaho
10198 Washington County, Idaho
67103 Adams County, Illinois
8238 Alexander County, Illinois
17768 Bond County, Illinois
54165 Boone County, Illinois
6937 Brown County, Illinois
34978 Bureau County, Illinois
5089 Calhoun County, Illinois
15387 Carroll County, Illinois
13642 Cass County, Illinois
201081 Champaign County, Illinois
34800 Christian County, Illinois
16335 Clark County, Illinois
13815 Clay County, Illinois
37762 Clinton County, Illinois
53873 Coles County, Illinois
5194675 Cook County, Illinois
19817 Crawford County, Illinois
11048 Cumberland County, Illinois
105160 DeKalb County, Illinois
16561 De Witt County, Illinois
19980 Douglas County, Illinois
916924 DuPage County, Illinois
18576 Edgar County, Illinois
6721 Edwards County, Illinois
34242 Effingham County, Illinois
22140 Fayette County, Illinois
14081 Ford County, Illinois
39561 Franklin County, Illinois
37069 Fulton County, Illinois
5589 Gallatin County, Illinois
13886 Greene County, Illinois
50063 Grundy County, Illinois
8457 Hamilton County, Illinois
19104 Hancock County, Illinois
4320 Hardin County, Illinois
7331 Henderson County, Illinois
50486 Henry County, Illinois
29718 Iroquois County, Illinois
60218 Jackson County, Illinois
9698 Jasper County, Illinois
38827 Jefferson County, Illinois
22985 Jersey County, Illinois
22678 Jo Daviess County, Illinois
12582 Johnson County, Illinois
515269 Kane County, Illinois
113449 Kankakee County, Illinois
114736 Kendall County, Illinois
52919 Knox County, Illinois
703462 Lake County, Illinois
113924 LaSalle County, Illinois
16833 Lawrence County, Illinois
36031 Lee County, Illinois
38950 Livingston County, Illinois
30305 Logan County, Illinois
32612 McDonough County, Illinois
308760 McHenry County, Illinois
169572 McLean County, Illinois
110768 Macon County, Illinois
47765 Macoupin County, Illinois
269282 Madison County, Illinois
39437 Marion County, Illinois
12640 Marshall County, Illinois
14666 Mason County, Illinois
15429 Massac County, Illinois
12705 Menard County, Illinois
16434 Mercer County, Illinois
32957 Monroe County, Illinois
30104 Montgomery County, Illinois
35547 Morgan County, Illinois
14846 Moultrie County, Illinois
53497 Ogle County, Illinois
186494 Peoria County, Illinois
22350 Perry County, Illinois
16729 Piatt County, Illinois
16430 Pike County, Illinois
4470 Pope County, Illinois
6161 Pulaski County, Illinois
6006 Putnam County, Illinois
33476 Randolph County, Illinois
16233 Richland County, Illinois
147546 Rock Island County, Illinois
270056 St. Clair County, Illinois
24913 Saline County, Illinois
197465 Sangamon County, Illinois
7544 Schuyler County, Illinois
5355 Scott County, Illinois
22363 Shelby County, Illinois
5994 Stark County, Illinois
47711 Stephenson County, Illinois
135394 Tazewell County, Illinois
17808 Union County, Illinois
81625 Vermilion County, Illinois
11947 Wabash County, Illinois
17707 Warren County, Illinois
14716 Washington County, Illinois
16760 Wayne County, Illinois
14665 White County, Illinois
58498 Whiteside County, Illinois
677560 Will County, Illinois
66357 Williamson County, Illinois
295266 Winnebago County, Illinois
38664 Woodford County, Illinois
34387 Adams County, Indiana
355329 Allen County, Indiana
76794 Bartholomew County, Indiana
8854 Benton County, Indiana
12766 Blackford County, Indiana
56640 Boone County, Indiana
15242 Brown County, Indiana
20155 Carroll County, Indiana
38966 Cass County, Indiana
110232 Clark County, Indiana
26890 Clay County, Indiana
33224 Clinton County, Indiana
10713 Crawford County, Indiana
31648 Daviess County, Indiana
50047 Dearborn County, Indiana
25740 Decatur County, Indiana
42223 DeKalb County, Indiana
117671 Delaware County, Indiana
41889 Dubois County, Indiana
197559 Elkhart County, Indiana
24277 Fayette County, Indiana
74578 Floyd County, Indiana
17240 Fountain County, Indiana
23087 Franklin County, Indiana
20836 Fulton County, Indiana
33503 Gibson County, Indiana
70061 Grant County, Indiana
33165 Greene County, Indiana
274569 Hamilton County, Indiana
70002 Hancock County, Indiana
39364 Harrison County, Indiana
145448 Hendricks County, Indiana
49462 Henry County, Indiana
82752 Howard County, Indiana
37124 Huntington County, Indiana
42376 Jackson County, Indiana
33478 Jasper County, Indiana
21253 Jay County, Indiana
32428 Jefferson County, Indiana
28525 Jennings County, Indiana
139654 Johnson County, Indiana
38440 Knox County, Indiana
77358 Kosciusko County, Indiana
37128 LaGrange County, Indiana
496005 Lake County, Indiana
111467 LaPorte County, Indiana
46134 Lawrence County, Indiana
131636 Madison County, Indiana
903393 Marion County, Indiana
47051 Marshall County, Indiana
10334 Martin County, Indiana
36903 Miami County, Indiana
137974 Monroe County, Indiana
38124 Montgomery County, Indiana
68894 Morgan County, Indiana
14244 Newton County, Indiana
47536 Noble County, Indiana
6128 Ohio County, Indiana
19840 Orange County, Indiana
21575 Owen County, Indiana
17339 Parke County, Indiana
19338 Perry County, Indiana
12845 Pike County, Indiana
164343 Porter County, Indiana
25910 Posey County, Indiana
13402 Pulaski County, Indiana
37963 Putnam County, Indiana
26171 Randolph County, Indiana
28818 Ripley County, Indiana
17392 Rush County, Indiana
266931 St. Joseph County, Indiana
24181 Scott County, Indiana
44436 Shelby County, Indiana
20952 Spencer County, Indiana
23363 Starke County, Indiana
34185 Steuben County, Indiana
21475 Sullivan County, Indiana
10613 Switzerland County, Indiana
172780 Tippecanoe County, Indiana
15936 Tipton County, Indiana
7516 Union County, Indiana
179703 Vanderburgh County, Indiana
16212 Vermillion County, Indiana
107848 Vigo County, Indiana
32888 Wabash County, Indiana
8508 Warren County, Indiana
59689 Warrick County, Indiana
28262 Washington County, Indiana
68917 Wayne County, Indiana
27636 Wells County, Indiana
24643 White County, Indiana
33292 Whitley County, Indiana
7682 Adair County, Iowa
4029 Adams County, Iowa
14330 Allamakee County, Iowa
12887 Appanoose County, Iowa
6119 Audubon County, Iowa
26076 Benton County, Iowa
131090 Black Hawk County, Iowa
26306 Boone County, Iowa
24276 Bremer County, Iowa
20958 Buchanan County, Iowa
20260 Buena Vista County, Iowa
14867 Butler County, Iowa
9670 Calhoun County, Iowa
20816 Carroll County, Iowa
13956 Cass County, Iowa
18499 Cedar County, Iowa
44151 Cerro Gordo County, Iowa
12072 Cherokee County, Iowa
12439 Chickasaw County, Iowa
9286 Clarke County, Iowa
16667 Clay County, Iowa
18129 Clayton County, Iowa
49116 Clinton County, Iowa
17096 Crawford County, Iowa
66135 Dallas County, Iowa
8753 Davis County, Iowa
8457 Decatur County, Iowa
17764 Delaware County, Iowa
40325 Des Moines County, Iowa
16667 Dickinson County, Iowa
93653 Dubuque County, Iowa
10302 Emmet County, Iowa
20880 Fayette County, Iowa
16303 Floyd County, Iowa
10680 Franklin County, Iowa
7441 Fremont County, Iowa
9336 Greene County, Iowa
12453 Grundy County, Iowa
10954 Guthrie County, Iowa
15673 Hamilton County, Iowa
11341 Hancock County, Iowa
17534 Hardin County, Iowa
14928 Harrison County, Iowa
20145 Henry County, Iowa
9566 Howard County, Iowa
9815 Humboldt County, Iowa
7089 Ida County, Iowa
16355 Iowa County, Iowa
19848 Jackson County, Iowa
36842 Jasper County, Iowa
16843 Jefferson County, Iowa
130882 Johnson County, Iowa
20638 Jones County, Iowa
10511 Keokuk County, Iowa
15543 Kossuth County, Iowa
35862 Lee County, Iowa
211226 Linn County, Iowa
11387 Louisa County, Iowa
8898 Lucas County, Iowa
11581 Lyon County, Iowa
15679 Madison County, Iowa
22381 Mahaska County, Iowa
33309 Marion County, Iowa
40648 Marshall County, Iowa
15059 Mills County, Iowa
10776 Mitchell County, Iowa
9243 Monona County, Iowa
7970 Monroe County, Iowa
10740 Montgomery County, Iowa
42745 Muscatine County, Iowa
14398 O'Brien County, Iowa
6462 Osceola County, Iowa
15932 Page County, Iowa
9421 Palo Alto County, Iowa
24986 Plymouth County, Iowa
7310 Pocahontas County, Iowa
430640 Polk County, Iowa
93158 Pottawattamie County, Iowa
18914 Poweshiek County, Iowa
5131 Ringgold County, Iowa
10350 Sac County, Iowa
165224 Scott County, Iowa
12167 Shelby County, Iowa
33704 Sioux County, Iowa
89542 Story County, Iowa
17767 Tama County, Iowa
6317 Taylor County, Iowa
12534 Union County, Iowa
7570 Van Buren County, Iowa
35625 Wapello County, Iowa
46225 Warren County, Iowa
21704 Washington County, Iowa
6403 Wayne County, Iowa
38013 Webster County, Iowa
10866 Winnebago County, Iowa
21056 Winneshiek County, Iowa
102172 Woodbury County, Iowa
7598 Worth County, Iowa
13229 Wright County, Iowa
13371 Allen County, Kansas
8102 Anderson County, Kansas
16924 Atchison County, Kansas
4861 Barber County, Kansas
27674 Barton County, Kansas
15173 Bourbon County, Kansas
9984 Brown County, Kansas
65880 Butler County, Kansas
2790 Chase County, Kansas
3669 Chautauqua County, Kansas
21603 Cherokee County, Kansas
2726 Cheyenne County, Kansas
2215 Clark County, Kansas
8535 Clay County, Kansas
9533 Cloud County, Kansas
8601 Coffey County, Kansas
1891 Comanche County, Kansas
36311 Cowley County, Kansas
39134 Crawford County, Kansas
2961 Decatur County, Kansas
19754 Dickinson County, Kansas
7945 Doniphan County, Kansas
110826 Douglas County, Kansas
3037 Edwards County, Kansas
2882 Elk County, Kansas
28452 Ellis County, Kansas
6497 Ellsworth County, Kansas
36776 Finney County, Kansas
33848 Ford County, Kansas
25992 Franklin County, Kansas
34362 Geary County, Kansas
2695 Gove County, Kansas
2597 Graham County, Kansas
7829 Grant County, Kansas
6006 Gray County, Kansas
1247 Greeley County, Kansas
6689 Greenwood County, Kansas
2690 Hamilton County, Kansas
6034 Harper County, Kansas
34684 Harvey County, Kansas
4256 Haskell County, Kansas
1916 Hodgeman County, Kansas
13462 Jackson County, Kansas
19126 Jefferson County, Kansas
3077 Jewell County, Kansas
544179 Johnson County, Kansas
3977 Kearny County, Kansas
7858 Kingman County, Kansas
2553 Kiowa County, Kansas
21607 Labette County, Kansas
1750 Lane County, Kansas
76227 Leavenworth County, Kansas
3241 Lincoln County, Kansas
9656 Linn County, Kansas
2756 Logan County, Kansas
33690 Lyon County, Kansas
29180 McPherson County, Kansas
12660 Marion County, Kansas
10117 Marshall County, Kansas
4575 Meade County, Kansas
32787 Miami County, Kansas
6373 Mitchell County, Kansas
35471 Montgomery County, Kansas
5923 Morris County, Kansas
3233 Morton County, Kansas
10178 Nemaha County, Kansas
16512 Neosho County, Kansas
3107 Ness County, Kansas
5671 Norton County, Kansas
16295 Osage County, Kansas
3858 Osborne County, Kansas
6091 Ottawa County, Kansas
6973 Pawnee County, Kansas
5642 Phillips County, Kansas
21604 Pottawatomie County, Kansas
9656 Pratt County, Kansas
2519 Rawlins County, Kansas
64511 Reno County, Kansas
4980 Republic County, Kansas
10083 Rice County, Kansas
71115 Riley County, Kansas
5181 Rooks County, Kansas
3307 Rush County, Kansas
6970 Russell County, Kansas
55606 Saline County, Kansas
4936 Scott County, Kansas
498365 Sedgwick County, Kansas
22952 Seward County, Kansas
177934 Shawnee County, Kansas
2556 Sheridan County, Kansas
6010 Sherman County, Kansas
3853 Smith County, Kansas
4437 Stafford County, Kansas
2235 Stanton County, Kansas
5724 Stevens County, Kansas
24132 Sumner County, Kansas
7900 Thomas County, Kansas
3001 Trego County, Kansas
7053 Wabaunsee County, Kansas
1485 Wallace County, Kansas
5799 Washington County, Kansas
2234 Wichita County, Kansas
9409 Wilson County, Kansas
3309 Woodson County, Kansas
157505 Wyandotte County, Kansas
18656 Adair County, Kentucky
19956 Allen County, Kentucky
21421 Anderson County, Kentucky
